limit,factor,,,,,
0,-0.760,,,,,
1000,-0.600,,,,,
2500,-0.510,,,,,
5000,-0.406,,,,,
7500,-0.303,,,,,
10000,-0.231,,,,,
15000,-0.128,,,,,
20000,-0.064,,,,,
25000,0.000,,,,,
35000,0.105,,,,,
50000,0.175,,,,,
75000,0.277,,,,,
100000,0.350,,,,,
125000,0.406,,,,,
150000,0.452,,,,,
175000,0.491,,,,,
200000,0.525,,,,,
225000,0.555,,,,,
250000,0.581,,,,,
275000,0.605,,,,,
300000,0.627,,,,,
325000,0.648,,,,,
350000,0.666,,,,,
375000,0.684,,,,,
400000,0.700,,,,,
425000,0.715,,,,,
450000,0.730,,,,,
475000,0.743,,,,,
500000,0.756,,,,,
525000,0.807,,,,,
550000,0.819,,,,,
575000,0.831,,,,,
600000,0.842,,,,,
625000,0.853,,,,,
650000,0.864,,,,,
675000,0.874,,,,,
700000,0.883,,,,,
725000,0.893,,,,,
750000,0.902,,,,,
775000,0.910,,,,,
800000,0.919,,,,,
825000,0.927,,,,,
850000,0.935,,,,,
875000,0.943,,,,,
900000,0.950,,,,,
925000,0.957,,,,,
950000,0.964,,,,,
975000,0.971,,,,,
1000000,1.000,,,,,
2000000,1.415,,,,,
2500000,1.526,,,,,
3000000,1.637,,,,,
4000000,1.820,,,,,
5000000,1.986,,,,,
6000000,2.113,,,,,
7000000,2.229,,,,,
8000000,2.331,,,,,
9000000,2.422,,,,,
10000000,2.503,,,,,